test	category	issue	expected_result	expected_message	reason
generic/003	upstream_not_applicable	-	NOTRUN	relatime not supported by the current kernel	The upstream relatime prerequisite requires local remount-style mount semantics not available in the current FUSE test model.
generic/004	known_unsupported	#255	NOTRUN	O_TMPFILE is not supported	SwordFS VfsImpl::TmpFile returns NotSupported; tracked by #255.
generic/008	known_unsupported	#255	NOTRUN	xfs_io fzero failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/009	known_unsupported	#255	NOTRUN	xfs_io fzero failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/012	known_unsupported	#255	NOTRUN	xfs_io fpunch failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/015	upstream_not_applicable	-	NOTRUN	Filesystem fuse not supported in _scratch_mkfs_sized	The testcase requires sizing/formatting a local scratch filesystem, which is not applicable to FUSE.
generic/016	known_unsupported	#255	NOTRUN	xfs_io fpunch failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/018	upstream_not_applicable	-	NOTRUN	defragmentation not supported for fstype "fuse"	Pinned fstests excludes filesystem defragmentation for FUSE.
generic/020	known_unsupported	#255	NOTRUN	attr namespace user not supported by this filesystem type: fuse	SwordFS xattr operations return NotSupported, which also prevents ACL/xattr prerequisites; tracked by #255.
generic/021	known_unsupported	#255	NOTRUN	xfs_io fpunch failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/022	known_unsupported	#255	NOTRUN	xfs_io fpunch failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
generic/026	known_unsupported	#255	NOTRUN	ACLs not supported by this filesystem type: fuse	SwordFS xattr operations return NotSupported, which also prevents ACL/xattr prerequisites; tracked by #255.
generic/031	known_unsupported	#255	NOTRUN	xfs_io fcollapse failed (old kernel/wrong fs?)	SwordFS VfsImpl::Fallocate returns NotSupported for this allocation mode; tracked by #255.
