# Reviewed historical weights from main run 35740846851; used only for deterministic shard balancing.
test	seconds
generic/001	24.000
generic/002	0.000
generic/005	0.000
generic/006	24.000
generic/007	65.000
generic/011	24.000
generic/013	149.000
generic/014	21.000
generic/023	1.000
generic/024	1.000
generic/028	5.000
generic/029	1.000
generic/030	1.000
generic/069	180.000
generic/075	61.000
generic/080	2.000
generic/084	5.000
generic/087	0.000
generic/088	0.000
generic/091	5.000
generic/095	22.000
generic/098	1.000
generic/112	65.000
generic/113	154.000
generic/123	0.000
generic/124	10.000
generic/126	1.000
generic/128	1.000
generic/129	249.000
generic/130	4.000
generic/135	0.000
generic/141	0.000
generic/169	0.000
generic/198	2.000
generic/207	1.000
generic/210	1.000
generic/212	0.000
generic/215	2.000
generic/221	1.000
generic/236	1.000
generic/245	0.000
generic/246	0.000
generic/247	301.000
generic/248	1.000
generic/249	2.000
generic/257	1.000
generic/258	0.000
generic/263	32.000
generic/308	1.000
generic/309	1.000
generic/313	4.000
generic/346	16.000
generic/355	0.000
generic/360	0.000
generic/362	0.000
generic/364	10.000
generic/378	0.000
generic/393	1.000
generic/401	1.000
generic/406	2.000
generic/412	0.000
generic/423	0.000
generic/428	0.000
generic/430	0.000
generic/431	1.000
generic/432	0.000
generic/433	0.000
generic/437	1.000
generic/443	0.000
generic/448	0.000
generic/451	30.000
generic/460	6.000
generic/465	2.000
generic/471	47.000
generic/478	459.000
generic/490	1.000
generic/519	1.000
generic/524	14.000
generic/532	0.000
generic/565	0.000
generic/571	7.000
generic/597	0.000
generic/598	1.000
generic/604	7.000
generic/609	1.000
generic/632	1.000
generic/634	0.000
generic/637	0.000
generic/638	0.000
generic/639	0.000
generic/647	0.000
generic/676	63.000
generic/678	1.000
generic/680	1.000
generic/706	0.000
generic/708	0.000
generic/729	0.000
generic/732	0.000
generic/736	33.000
generic/755	2.000
generic/759	50.000
generic/760	3.000
generic/761	2.000
generic/763	0.000
generic/799	1.000
