selector	category	issue	reason
tests/chmod/00.t#22-24,28,31-34,38,41-44,48,51-54,58,61,70-71,73-75,77-79,81-83,85,94-95,97-99,101-103,105-107,109	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/chmod/01.t#5-16	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/chmod/11.t#18-20,23,25-28,31,33-36,39,41-44,47,49,69-71,73-74,76,78-81,83-84,86,88-91,93-94,96,98-101,103-104,106,108	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/chown/00.t#34-38,42,45-54,58,61-70,74,77-86,90,93-97,162-168,171,175,179,183-198,201,205,209,213-228,231,235,239,243-258,261,265,269,273-281,316-318,321,324-331,334,337-344,347,350-357,360,363-367,446-455,459,462,465,468,471-492,496,499,502,505,508-529,533,536,539,542,545-566,570,573,576,579,582-593,696-709,713,716,719,722,725,728,731-760,764,767,770,773,776,779,782-811,815,818,821,824,827,830,833-862,866,869,872,875,878,881,884-899,948-950,952-953,963-966,968-969,971-974,976-977,987-990,992-993,995-998,1000-1001,1011-1014,1016-1017,1019-1022,1024-1025,1035-1038,1040-1041,1043,1082-1083,1085,1091-1093,1095-1098,1100,1106-1108,1110-1113,1115,1121-1123,1125-1128,1130,1136-1138,1140-1141,1189-1192,1194,1202-1206,1208-1213,1215,1223-1227,1229-1234,1236,1244-1248,1250-1255,1257,1265-1269,1271-1272	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/chown/01.t#6-21	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/chown/07.t#44-49,56-69,76-89,96-109,116-123	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/link/00.t#28-31,34,39,42,54-57,60,65,68,80-83,86,91,94,106-109,112,117,120,139-140,144,146-147,151,153-154,158,160-161,165,174-176,180-183,187-190,194-197,201	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/link/01.t#8-31	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/link/10.t#8-9,11-12,14-15,17-18	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/mkdir/01.t#5-16	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/mkdir/10.t#7-10,12-13,15-16,18-19,21	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/mkfifo/00.t#2-16,18-23,25-27,29-35	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/mkfifo/01.t#5-16	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/mkfifo/02.t#1-3	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/mkfifo/03.t#1-3	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/mkfifo/05.t#4-5,9-10	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/mkfifo/06.t#4-5,9-10	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/mkfifo/09.t#7-18	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/mknod/00.t#2-16,18-23,25-27,29-35	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/mknod/01.t#7-26	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/mknod/02.t#1-3,5-7,9-11	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/mknod/03.t#1-3,5-7,9-11	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/mknod/05.t#4-5,9-10	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/mknod/06.t#4-5,9-10	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/mknod/08.t#11-30	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/mknod/11.t#2-6,8-19,21-27	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/open/01.t#6-21	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
tests/open/06.t#65-111	known_unsupported	#208	special-file/FIFO/socket node semantics are not implemented
